Dátum,Registration,New,Elhunytak,Gyógyultak,Mintavétel száma,Egymillió lakosra elvégzett tesztek száma,Kórházi karanténba zártak száma,Regisztrált esetek százalékos változása az előző naphoz viszonyítva,Pozitív tesztek aránya,A mintavételek számának százalékos változása az előző naphoz képest,Aktív fertőzöttek száma,Elhunytak aránya Magyarországon,Gyógyultak aránya Magyarországon,Hatósági házi karantén,Új mintavételek száma,Új esetek aránya az új mintavételekhez képest,New Deaths,Új gyógyultak naponta,Kórházi ápoltak száma,Lélegeztetőgépen lévők száma,Aktív esetek/összes eset,Kórházi ápoltak számának változása az előző naphoz képest,Lélegeztetőgépen lévők számának változása az előző naphoz képest,Kórházi ápoltak aránya az aktív eseteken belül,Lélegeztetőgépen lévők aránya a kórházi ápoltakon belül,Növekedési faktor,Hétnapos mozgóátlag,Hétnapos csúszóátlag,Hétnapos csúszóátlag.1,Hétnapos csúszóátlag.2,Hétnapos csúszóátlag.3,Beoltottak száma Magyarországon,Új beoltottak száma Magyarországon,Hétnapos csúszóátlag.4,Második oltás,Második oltás napi,Hétnapos csúszóátlag.5,Hétnapos csúszóátlag.6
2020-04-22,2168.0,70.0,225.0,295.0,52702.0,5377.755102040816,,0.0334,0.0411,0.053,1648.0,0.1038,0.1361,11049.0,2650.0,0.0264,12.0,8.0,825.0,63.0,0.7601476014760148,-17.0,-19.0,0.5006067961165048,0.07636363636363637,0.8611111111111112,0.9613354400707615,84.14285714285714,13.0,2196.5714285714284,0.040871428571428566,,,,,,,14.714285714285714
2020-04-23,2284.0,116.0,239.0,390.0,55390.0,5652.04081632653,,0.0535,0.0412,0.051,1655.0,0.1046,0.1708,10942.0,2688.0,0.0432,14.0,95.0,850.0,61.0,0.7246059544658494,25.0,-2.0,0.513595166163142,0.07176470588235294,0.9404761904761905,0.8526512068838159,90.28571428571429,13.857142857142858,2414.4285714285716,0.038071428571428576,,,,,,,27.285714285714285
2020-04-24,2383.0,99.0,250.0,401.0,58251.0,5943.9795918367345,,0.0433,0.0409,0.052,1732.0,0.1049,0.1683,10942.0,2861.0,0.0346,11.0,11.0,877.0,61.0,0.726814939152329,27.0,0.0,0.50635103926097,0.06955530216647662,1.0820244328097732,0.8628572672020679,88.57142857142857,13.428571428571429,2380.1428571428573,0.0379,,,,,,,27.714285714285715
2020-04-25,2443.0,60.0,262.0,458.0,60801.0,6204.183673469387,,0.0252,0.0402,0.044,1723.0,0.1072,0.1875,10942.0,2550.0,0.0235,12.0,57.0,899.0,54.0,0.7052803929594761,22.0,-7.0,0.5217643644805572,0.060066740823136816,1.1622137404580153,0.9104429552602653,87.0,12.857142857142858,2414.285714285714,0.03687142857142857,,,,,,,32.42857142857143
2020-04-26,2500.0,57.0,272.0,485.0,63505.0,6480.102040816326,,0.0233,0.0394,0.044,1743.0,0.1088,0.194,9589.0,2704.0,0.0211,10.0,27.0,927.0,56.0,0.6972,28.0,2.0,0.53184165232358,0.06040992448759439,1.1541501976284585,0.9685479739972281,83.42857142857143,11.857142857142858,2450.285714285714,0.035114285714285716,,,,,,,33.57142857142857
2020-04-27,2583.0,83.0,280.0,498.0,65625.0,6696.428571428571,,0.0332,0.0394,0.033,1805.0,0.1084,0.1928,9829.0,2120.0,0.0392,8.0,13.0,931.0,52.0,0.6987998451413086,4.0,-4.0,0.5157894736842106,0.055853920515574654,1.138783269961977,1.025989201438775,85.57142857142857,11.571428571428571,2509.714285714286,0.03501428571428571,,,,,,,33.0
2020-04-28,2649.0,66.0,291.0,516.0,67172.0,6854.285714285714,,0.0256,0.0394,0.024,1842.0,0.1099,0.1948,9889.0,1547.0,0.0427,11.0,18.0,946.0,49.0,0.695356738391846,15.0,-3.0,0.5135722041259501,0.05179704016913319,0.9402730375426621,1.039861711426884,78.71428571428571,11.142857142857142,2445.714285714286,0.03295714285714286,,,,,,,32.714285714285715
2020-04-29,2727.0,78.0,300.0,536.0,70300.0,7173.469387755102,,0.0294,0.0388,0.047,1891.0,0.11,0.1966,10071.0,3128.0,0.0249,9.0,20.0,983.0,50.0,0.6934360102676934,37.0,1.0,0.5198307773664728,0.0508646998982706,0.9490662139219015,1.0524267261141398,79.85714285714286,10.714285714285714,2514.0,0.03274285714285715,,,,,,,34.42857142857143
2020-04-30,2775.0,48.0,312.0,581.0,72951.0,7443.9795918367345,,0.0176,0.038,0.038,1882.0,0.1124,0.2094,10199.0,2651.0,0.0181,12.0,45.0,998.0,54.0,0.6781981981981982,15.0,4.0,0.5302869287991498,0.05410821643286573,0.7768987341772152,1.029058518071429,70.14285714285714,10.428571428571429,2508.714285714286,0.029157142857142857,,,,,,,27.285714285714285
2020-05-01,2863.0,88.0,323.0,609.0,76331.0,7788.877551020408,,0.0317,0.0375,0.046,1931.0,0.1128,0.2127,10384.0,3380.0,0.026,11.0,28.0,983.0,49.0,0.6744673419490046,-15.0,-5.0,0.509062661833247,0.04984740590030519,0.7741935483870968,0.9850826774396181,68.57142857142857,10.428571428571429,2582.8571428571427,0.02792857142857143,,,,,,,29.714285714285715
2020-05-02,2942.0,79.0,335.0,625.0,79551.0,8117.448979591836,,0.0276,0.037,0.042,1982.0,0.1139,0.2124,10754.0,3220.0,0.0245,12.0,16.0,1008.0,52.0,0.6736913664174031,25.0,3.0,0.508577194752775,0.051587301587301584,0.819376026272578,0.9361058611274127,71.28571428571429,10.428571428571429,2678.5714285714284,0.028071428571428574,,,,,,,23.857142857142858
2020-05-03,2998.0,56.0,340.0,629.0,82010.0,8368.367346938774,,0.019,0.0366,0.031,2029.0,0.1134,0.2098,10786.0,2459.0,0.0228,5.0,4.0,1005.0,51.0,0.6767845230153435,-3.0,-1.0,0.49531789058649583,0.050746268656716415,0.8527397260273972,0.8930472223272611,71.14285714285714,9.714285714285714,2643.5714285714284,0.028314285714285712,,,,,,,20.571428571428573
2020-05-04,3035.0,37.0,351.0,630.0,83958.0,8567.142857142857,,0.0123,0.0361,0.024,2054.0,0.1157,0.2076,10459.0,1948.0,0.019,11.0,1.0,1027.0,55.0,0.6767710049423393,22.0,4.0,0.5,0.053554040895813046,0.7545909849749582,0.8381626101862584,64.57142857142857,10.142857142857142,2619.0,0.025428571428571422,,,,,,,18.857142857142858
2020-05-05,3065.0,30.0,363.0,709.0,85557.0,8730.30612244898,,0.0099,0.0358,0.019,1993.0,0.1184,0.2313,10547.0,1599.0,0.0188,12.0,79.0,982.0,55.0,0.6502446982055465,-45.0,0.0,0.4927245358755645,0.0560081466395112,0.7549909255898367,0.8116937370501406,59.42857142857143,10.285714285714286,2626.4285714285716,0.022014285714285715,,,,,,,27.571428571428573
2020-05-06,3111.0,46.0,373.0,759.0,88735.0,9054.591836734693,,0.015,0.0351,0.037,1979.0,0.1199,0.244,10628.0,3178.0,0.0145,10.0,50.0,964.0,50.0,0.6361298617807779,-18.0,-5.0,0.48711470439615967,0.05186721991701245,0.6869409660107334,0.7742472730628308,54.857142857142854,10.428571428571429,2633.5714285714284,0.02052857142857143,,,,,,,31.857142857142858
2020-05-07,3150.0,39.0,383.0,801.0,94036.0,9595.510204081633,,0.0125,0.0335,0.06,1966.0,0.1216,0.2543,10956.0,5301.0,0.0074,10.0,42.0,968.0,50.0,0.6241269841269841,4.0,0.0,0.4923702950152594,0.05165289256198347,0.7637474541751528,0.7723685187768219,53.57142857142857,10.142857142857142,3012.1428571428573,0.019,,,,,,,31.428571428571427
2020-05-08,3178.0,28.0,392.0,865.0,99058.0,10107.959183673469,,0.0089,0.0321,0.053,1921.0,0.1233,0.2722,11036.0,5022.0,0.0056,9.0,64.0,891.0,,0.6044682190056639,-77.0,-50.0,0.46382092660072877,0.0,0.65625,0.7555194404358081,45.0,9.857142857142858,3246.714285714286,0.016085714285714283,,,,,,,36.57142857142857
2020-05-09,3213.0,35.0,405.0,904.0,103258.0,10536.530612244896,,0.011,0.0311,0.042,1904.0,0.1261,0.2814,10927.0,4200.0,0.0083,13.0,39.0,875.0,,0.5925925925925926,-16.0,0.0,0.45955882352941174,0.0,0.5430861723446894,0.7160494613032525,38.714285714285715,10.0,3386.714285714286,0.013771428571428572,,,,,,,39.857142857142854
